Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2000,2000,1000 persons,3783.103,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2001,2001,1000 persons,3842.245,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2002,2002,1000 persons,3907.998,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2003,2003,1000 persons,3980.076,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2004,2004,1000 persons,4058.13,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2005,2005,1000 persons,4141.223,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2006,2006,1000 persons,4230.623,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2007,2007,1000 persons,4324.641,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2008,2008,1000 persons,4415.872,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2009,2009,1000 persons,4494.576,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2010,2010,1000 persons,4554.321,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2011,2011,1000 persons,4591.105,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2012,2012,1000 persons,4608.198,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2013,2013,1000 persons,4615.422,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2014,2014,1000 persons,4626.844,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2015,2015,1000 persons,4652.425,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,4695.779,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,4753.279,X,International reliable sources,
OA,Annual population,104,Ireland,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,4818.69,X,International reliable sources,
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2000,2000,1000 persons,6143493.823,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2001,2001,1000 persons,6222626.606,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2002,2002,1000 persons,6301773.188,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2003,2003,1000 persons,6381185.114,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2004,2004,1000 persons,6461159.389,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2005,2005,1000 persons,6541907.027,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2006,2006,1000 persons,6623517.833,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2007,2007,1000 persons,6705946.61,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2008,2008,1000 persons,6789088.686,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2009,2009,1000 persons,6872767.093,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2010,2010,1000 persons,6956823.603,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2011,2011,1000 persons,7041194.301,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2012,2012,1000 persons,7125828.059,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2013,2013,1000 persons,7210581.976,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2014,2014,1000 persons,7295290.765,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2015,2015,1000 persons,7379797.139,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2016,2016,1000 persons,7464022.049,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2017,2017,1000 persons,7547858.925,A,"Aggregate, may include official, semi-official, estimated or calculated data",
OA,Annual population,5000,World,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2018,2018,1000 persons,7631091.04,A,"Aggregate, may include official, semi-official, estimated or calculated data",
